article_incident_title,incday,incmo,incyr,province_psgc,municipality_psgc,city_psgc,actors_affiliation1,actors_effect1,manifestation_code1,incident_causes_code1,geo_tag_longitude,geo_tag_latitude,actors_count_number,inc_cat
6 BIFF men yield to Pagalungan LGU,28,12,2020,153800000,153810000,-99,3,14,2037,3015,124.7026856,7.051654798,7,3
"6 BIFF men, soldier killed in Maguindanao clashes",26,7,2016,153800000,153837000,-99,3,6,927,5017,124.465123,6.948112875,21,5
6 drug personalities surrender in Maguindanao (6 drug personalities sumuko sa Maguindanao),3,3,2020,153800000,153829000,-99,-98,14,2037,8004,124.5580074,6.912698472,6,8
6 drug personalities surrender in Sulu,11,6,2020,156600000,156611000,-99,16,14,2037,8004,121.0464697,6.051029298,6,8
6 drug pushers fall in Isabela City,28,5,2014,-99,-99,99701000,16,2,2039,8004,121.9707834,6.707446828,11,8
"6 foreign terrorists killed in Marawi City, Lanao del Sur 1",25,5,2017,153600000,-99,153617000,34,-98,927,5017,124.2909603,8.001108902,0,5
"6 foreign terrorists killed in Marawi City, Lanao del Sur 2",26,5,2017,153600000,-99,153617000,14,4,2031,5017,124.2931198,8.001576158,1,5
"6 foreign terrorists killed in Marawi City, Lanao del Sur 3",25,5,2017,153600000,-99,153617000,2,-98,927,5017,124.2948394,7.994885298,0,5
"6 foreign terrorists killed in Marawi City, Lanao del Sur 4",25,5,2017,153600000,-99,153617000,2,-98,927,5017,124.2893199,7.999955623,0,5
"6 Indonesian, 3 Filipinos caught for illegal fishing (6 Indones, 3 Pinoys huli sa illegal fishing)",30,7,2019,157000000,-98,-99,14,-98,2036,7001,119.7669143,5.03091576,9,7
6 killed in deadly clan wars,17,9,2020,153800000,153810000,-99,16,6,927,3006,124.7413434,6.919255233,9,3
6 more BIFF rebels surrender in Maguindanao,13,4,2020,153800000,153829000,-99,3,14,2037,3015,124.5835735,6.890261989,7,3
6 NPA rebels surrender in Maguindanao,18,3,2018,153800000,153801000,-99,9,14,2042,5008,124.4802117,6.843307008,6,5
6 NPA yield to military (6 NPA mi-ampo sa militar),8,11,2020,153800000,153815000,-99,2,-98,2037,5008,124.1856261,7.035460521,6,5
6 Sayyaf killed in clash,16,4,2013,150700000,150706000,-99,1,9,927,5008,122.1325805,6.503166405,11,5
6 Sayyaf men nabbed in Sulu,20,11,2017,156600000,156615000,-99,1,2,2037,5017,121.854127,6.03036,6,5
6 Sayyaf men surrender 1,23,7,2019,156600000,-98,-99,1,14,2042,3015,121.0037527,6.053626626,0,3
6 Sayyaf men surrender 2,24,7,2019,156600000,-98,-99,2,-98,2042,3015,121.0037527,6.053626626,0,3
"6 soldiers hurt in fresh BIFF attack in Datu Saudi Ampatuan, Maguindanao",15,4,2015,153800000,153826000,-99,2,-98,927,5008,124.4061093,6.92142001,10,5
6 soldiers hurt in fresh BIFF attacks (2),16,4,2015,153800000,153836000,-99,3,9,926,5008,124.4742832,6.985801984,11,5
"6 soldiers killed,  4 wounded in Sumisip clash with ASG",8,11,2017,150700000,150705000,-99,2,6,927,5017,121.959638,6.457769573,10,5
65IB seizes 78 sacks of rice from Reds,12,11,2018,153600000,153638000,-99,9,-98,2037,5008,124.4185562,8.117257712,0,5
7 Abu Sayyaf men yield in Basilan,18,1,2016,150700000,150711000,-99,1,2,2037,5017,122.0953037,6.519114229,17,5
7 Abus yield,18,12,2018,156600000,156611000,-99,1,14,2037,3015,121.1576655,6.061363769,7,3
7 ASG bandits killed in Sulu encounter ,3,11,2020,156600000,156609000,-99,1,6,2031,3015,120.9082119,5.919042526,14,3
7 BIFF injured in clash (7 BIFF samdan sa engkwentro),26,3,2016,153800000,153826000,-99,3,4,927,5017,124.4792002,6.9955609,22,5
7 BIFF men killed in new offensives,20,8,2018,153800000,153813000,-99,2,-98,926,5017,124.6213185,6.954911159,40,5
7 BIFFs surrender in Maguindanao,6,4,2020,153800000,153831000,-99,3,14,2037,5017,124.3409506,6.990935983,7,5
7 female trafficking victims rescued in latest operation,21,5,2013,157000000,157002000,-99,16,8,911,8003,119.8426113,5.054153247,9,8
7 illegal recruiment victims rescued in Tawi-Tawi,4,6,2020,157000000,157008000,-99,16,8,911,8003,118.1844157,6.18723469,9,8
"7 killed, several wounded in Basilan family feud ",3,1,2019,150700000,150712000,-99,29,-98,2031,3006,121.5395936,6.825489504,4,3
7 Maute men surrender in Lanao Sur,9,10,2018,153600000,153620000,-99,2,-98,2042,3015,124.1414325,7.763615866,7,3
7 MILF men wounded in BIFF roadside bombing,23,10,2019,153800000,153837000,-99,7,4,926,3015,124.5508619,6.997925547,7,3
7 Sayyaf men surrender 1,28,1,2018,157000000,-98,-99,2,-98,2037,5017,119.7669143,5.03091576,2,5
7 Sayyaf men surrender 2,29,1,2018,156600000,156601000,-99,1,14,2042,3015,120.9825874,5.994362302,3,3
7 Sayyaf men surrender 3,28,1,2018,156600000,156601000,-99,1,14,2037,3015,120.9825874,5.994362302,3,3
7 Sayyafs surrender in Sulu,18,9,2017,156600000,156610000,-99,1,14,2042,5017,121.1595842,5.8288038,7,5
7 soldiers hurt in Sulu clash,22,4,2016,156600000,156611000,-99,2,4,927,5017,121.060688,6.057166063,18,5
7 soldiers wounded in latest Abu clash,27,2,2015,156600000,156611000,-99,1,9,927,8009,121.0911072,6.080692477,314,8
7 suspected local IS fighters nabbed in Cotabato City COVID-19 checkpoint,8,12,2020,-99,-99,129804000,3,2,2036,3015,124.2541387,7.217705426,7,3
7 wounded in shootout (7 samdan sa pagpamanhig),3,12,2013,153800000,153825000,-99,-98,4,905,1007,124.3942371,6.954548043,16,1
700 board feet narra wood confiscated (700 board feet nga narra nakumpiska),1,8,2014,153800000,153812000,-99,16,-98,2037,7001,124.2405061,7.233311398,2,7
700 families flee homes,31,7,2018,150700000,150710000,-99,16,3,917,5017,122.275064,6.636416236,705,5
70-year-old killed by gunmen riding-in-tandem,10,12,2013,-99,-99,99701000,16,6,2031,-98,121.9884578,6.683325244,3,9
7-months pregnant wife shot by husband (7-bulang buntis gipusil sa bana),8,8,2018,-99,-99,129804000,16,4,2031,3001,124.2508134,7.226664629,3,3
"8 Ampatuan involved in alleged rape in Brgy. Bakat, Rajah Buayan, Maguindanao",10,5,2011,153800000,153829000,-99,16,-98,908,3001,124.5601712,6.962269468,9,3
8 ASG bandits surrender in Sulu,11,11,2017,156600000,156613000,-99,1,14,2037,3015,121.0751241,5.979516212,9,3
8 ASG members surrender in Sulu,23,9,2020,156600000,156613000,-99,1,14,2037,3015,121.0751241,5.979516212,9,3
8 bakery workers found dead in Marawi,28,5,2017,153600000,-99,153617000,34,9,2031,5017,124.2724055,8.020325201,8,5
"8 BIFF, afraid of war, surrender (8 BIFF hadlok na g giyera, miampo)",27,3,2020,153800000,-98,-99,3,14,2037,5017,124.4588817,6.856527147,8,5
"8 dead in encounter in Pagalungan, Maguindanao (8 patay sa bakbakan)",23,10,2013,153800000,153810000,-99,-98,6,927,5002,124.7332754,7.000483565,27,5
8 dead in Sulu clash,9,4,2015,156600000,156613000,-99,1,9,927,5008,121.1385673,5.988692207,213,5
"8 dead, 52 wounded in Marawi City firefight",31,8,2017,153600000,-99,153617000,2,-98,927,5017,124.3006897,7.993957436,60,5
8 IS followers surrender in Lanao Sur,10,12,2020,153600000,153603000,-99,36,14,2037,3015,124.1937342,7.93907971,9,3
8 ISIS-linked gunmen yield to Army in Maguindanao,1,2,2019,153800000,153801000,-99,2,-98,2042,3015,124.4802117,6.843307008,8,3
8 members of Bua Drug Group arrested in Maguindanao (8 miyembro sa Bua Drug Group nasignit sa Maguin,23,9,2017,153800000,153812000,-99,10,2,2036,8004,124.3076389,7.269439902,8,8
8 terrorists yield with 9 hostages,4,10,2017,153600000,-99,153617000,36,14,2037,5017,124.296228,8.010097,17,5
8-hr ceasefire ends up with attack,25,6,2017,153600000,-99,153617000,2,-98,2031,5017,124.3003014,7.989667482,6,5
9 Abu bandits killed in Basilan offensive,2,5,2018,150700000,150705000,-99,2,-98,927,5017,122.034118,6.54940255,42,5
9 BIFF members  killed in offensives 1,25,7,2019,153800000,153837000,-99,3,9,927,3015,124.5508619,6.997925547,14,3
9 BIFF members killed in offensives 2,27,7,2019,153800000,153837000,-99,2,-98,927,3015,124.5508619,6.997925547,10,3
9 BIFF members surrender in Maguindanao ,24,10,2020,153800000,153807000,-99,2,-98,2037,3015,124.2200147,7.149563294,9,3
9 BIFF men killed in Maguindanao clash ,26,7,2019,153800000,153837000,-99,2,-98,927,3015,124.5265032,7.020759536,6,3
9 Maute stragglers killed in Marawi,5,11,2017,153600000,-99,153617000,34,6,927,5017,124.28133,8.001571,9,5
"9 persons arrested including 1 AWOL police officer in drug raid (9 tawo, pulis nag-AWOL sikop sa dr",1,6,2018,-99,-99,129804000,14,-98,2039,8004,124.2508134,7.226664629,9,8
9 soldiers wounded in bombing (9 sundalo naangol sa bomba),28,7,2017,153800000,153829000,-99,2,4,905,5017,124.5488424,6.934501482,10,5
"Abandoned motorcycle in Brgy. Kamasi, Ampatuan, Maguindanao",7,3,2012,153800000,153801000,-99,-98,-98,921,1007,124.4981006,6.739644764,2,1
"Abducted Indian in Cotabato, released (Gidagit nga Bombay sa Cotabato, gibuhian na)",29,10,2013,-99,-99,129804000,-98,9,915,8009,124.2574471,7.220192174,8,8
Abducted mining exec freed in Sulu,21,10,2015,156600000,156611000,-99,1,9,927,5008,121.0911072,6.080692477,105,5
"Abducted priest appeals to Duterte: Stop airstrikes, attacks",23,5,2017,153600000,-99,153617000,16,12,916,5017,124.2934633,7.995014539,217,5
"Abducted teacher rescued in Tagbak, Indanan, Sulu",9,7,2016,156600000,156601000,-99,-98,5,915,8009,120.9932027,6.017223621,5,8
"Abducted woman, killed (Dalaga gidagit, gipatay)",12,9,2011,-99,-99,129804000,16,6,906,8009,124.2310439,7.2046668,3,8
"Abduction and arson in Brgy. Mahayahay Lower (Zone I), Maluso, Basilan",20,7,2017,150700000,150704000,-99,16,-98,2033,5017,121.9193171,6.535944335,5,5
"Abduction and extortion in Brgy. Bo-ot, Wao, Lanao del Sur",13,4,2017,153600000,153630000,-99,16,5,915,8009,124.725239,7.610476226,2,8
"Abduction and murder in Brgy. Bacung, Sumisip, Basilan",10,2,2017,150700000,150705000,-99,16,6,915,3006,122.0212568,6.474161861,4,3
"Abduction and murder in Brgy. Cabengbeng Upper, Sumisip, Basilan",10,2,2017,150700000,150705000,-99,16,6,915,3006,122.0706968,6.485059486,4,3
"Abduction and murder in Brgy. Igasan, Patikul, Sulu",20,4,2017,156600000,156611000,-99,2,6,915,5017,121.1009127,6.082024825,1,5
"Abduction and murder in Brgy. Tawaan, Piagapo, Lanao del Sur",17,6,2015,153600000,153621000,-99,16,6,915,3006,124.1944359,7.991412705,3,3
"Abduction and physical injury in Brgy. Bubong, Saguiaran, Lanao del Sur",5,3,2017,153600000,153625000,-99,28,5,915,8009,124.271508,8.028090642,7,8
"Abduction and rape in Brgy. Ladia, Sultan Kudarat, Maguindanao",28,7,2017,153800000,153812000,-99,24,11,908,1012,124.3263511,7.257333449,2,1
"Abduction and shooting in Brgy. Poblacion,  Binidayan, Lanao del Sur",26,8,2017,153600000,153605000,-99,16,5,2031,-98,124.1638047,7.788079549,7,9
"Abduction and shooting in Marawi City, Lanao del Sur",6,12,2013,153600000,-99,153617000,14,5,915,5008,124.2793359,8.0072879,50,5
"Abduction and violation of Republic Act 9262 (VAWC law) in Brgy. Rosary Heights 2, Cotabato City",7,9,2014,-99,-99,129804000,16,5,915,3001,124.2485058,7.219121958,4,3
"Abduction at Brgy. Libug, Sumisip, Basilan",31,3,2014,150700000,150705000,-99,1,9,915,8009,121.9606753,6.482559343,6,8
"Abduction in Ampuan St., Marawi City, Lanao del Sur",21,9,2013,153600000,-99,153617000,16,5,915,8009,124.2788146,8.007975479,7,8
"Abduction in Bakungan Island, Brgy. Taganak Poblacion, Turtle Islands, Tawi-Tawi",19,1,2017,157000000,157008000,-99,16,5,915,8009,118.1844157,6.18723469,3,8
"Abduction in Brgy Ulitan, Ungkaya  Pukan, Basilan ",22,5,2013,150700000,150711000,-99,16,-98,915,8009,122.095142,6.477822545,5,8
"Abduction in Brgy, Magsaysay, Parang, Maguindanao",25,7,2018,153800000,153811000,-99,24,5,915,-98,124.2655462,7.360699669,3,9
"Abduction in Brgy.  Marinaut West, Marawi City, Lanao del Sur",23,9,2011,153600000,-99,153617000,16,5,915,3005,124.2948394,7.994885298,6,3
"Abduction in Brgy. Alog, Lumbatan, Lanao del Sur",19,8,2016,153600000,153612000,-99,16,5,915,8007,124.2474242,7.777537432,2,8
"Abduction in Brgy. Anuling, Patikul, Sulu",1,12,2018,156600000,156611000,-99,30,5,930,2013,121.0121398,6.024900034,8,2
"Abduction in Brgy. Asturias, Jolo, Sulu",10,3,2015,156600000,156602000,-99,24,5,915,8009,121.0005716,6.046310178,2,8
"Abduction in Brgy. Asturias, Jolo, Sulu",18,5,2013,156600000,156602000,-99,30,5,915,8009,121.0005716,6.046310178,6,8
"Abduction in Brgy. Asturias, Jolo, Sulu",25,8,2017,156600000,156602000,-99,-98,9,915,-98,121.0005716,6.046310178,2,9
"Abduction in Brgy. Ataragadong, Poona Bayabao, Lanao del Sur",15,9,2015,153600000,153622000,-99,16,5,915,8009,124.3616916,7.82485282,6,8
"Abduction in Brgy. Awang, Datu Odin Sinsuat, Maguindanao",21,5,2015,153800000,153807000,-99,16,5,915,8009,124.2200147,7.149563294,5,8
"Abduction in Brgy. Awang, Datu Odin Sinsuat, Maguindanao",5,7,2015,153800000,153807000,-99,16,5,915,8009,124.2200147,7.149563294,3,8
"Abduction in Brgy. Awang, Datu Odin Sinsuat, Maguindanao",10,11,2011,153800000,153807000,-99,-98,9,915,8009,124.2200147,7.149563294,6,8
"Abduction in Brgy. Awang, Datu Odin Sinsuat, Maguindanao ",25,8,2017,153800000,153807000,-99,14,-98,915,-98,124.2200147,7.149563294,4,9
"Abduction in Brgy. Ba-as, Lamitan City, Basilan",17,4,2012,150700000,-99,150702000,24,-98,915,8009,122.171901,6.58566419,20,8
"Abduction in Brgy. Bagsak, Parang, Sulu",31,12,2017,156600000,156609000,-99,16,5,915,-98,120.9321381,5.897420702,2,9
"Abduction in Brgy. Bagua 3, Cotabato City",5,7,2015,-99,-99,129804000,16,5,915,8009,124.2424039,7.222615835,2,8
"Abduction in Brgy. Bakong, Patikul, Sulu",17,6,2016,156600000,156611000,-99,16,5,915,8009,121.0897391,6.066561813,2,8
"Abduction in Brgy. Banggolo, Marawi City, Lanao del Sur",13,12,2015,153600000,-99,153617000,16,7,915,8009,124.2909603,8.001108902,6,8
"Abduction in Brgy. Bangkal, Patikul, Sulu",30,5,2017,156600000,156611000,-99,16,5,915,-98,121.0464697,6.051029298,2,9
"Abduction in Brgy. Bangon, Marawi City, Lanao del Sur",4,6,2014,153600000,-99,153617000,16,5,915,-98,124.2827268,7.997221623,2,9
"Abduction in Brgy. Barurao, Sultan Sa Barongis, Maguindanao",19,4,2019,153800000,153813000,-99,16,5,915,5011,124.6008607,6.882561531,7,5
"Abduction in Brgy. Basak Malutlut, Marawi City, Lanao del Sur",12,6,2015,153600000,-99,153617000,14,1,915,8009,124.2707616,8.005966796,6,8
"Abduction in Brgy. Basak Malutlut, Marawi City, Lanao del Sur",26,4,2017,153600000,-99,153617000,-98,9,915,-98,124.2707616,8.005966796,6,9
"Abduction in Brgy. Batal-Punud, Marantao, Lanao del Sur",5,10,2016,153600000,153616000,-99,16,5,915,8009,124.2546092,7.973510787,3,8
"Abduction in Brgy. Batangan, Saguiaran, Lanao del Sur",17,1,2013,153600000,153625000,-99,16,-98,915,8009,124.2671295,8.047090098,2,8
"Abduction in Brgy. Bato, Lamitan City, Basilan",6,7,2013,150700000,-99,150702000,24,5,915,8009,122.1403079,6.671018915,2,8
"Abduction in Brgy. Benembengan, Sumisip, Basilan",14,9,2015,150700000,150705000,-99,16,5,915,8009,121.959638,6.457769573,26,8
"Abduction in Brgy. Bonbon, Patikul, Sulu",15,5,2017,156600000,156611000,-99,16,5,915,-98,121.163756,6.069431278,3,9
"Abduction in Brgy. Bongo Island, Parang, Maguindanao",9,2,2017,153800000,153811000,-99,16,5,915,-98,124.0348039,7.333512712,2,9
"Abduction in Brgy. Buadi Sacayo, Marawi City, Lanao del Sur",26,11,2016,153600000,-99,153617000,31,5,915,8009,124.2839554,8.002478725,5,8
"Abduction in Brgy. Buadi Sacayo, Marawi City, Lanao Del Sur",27,11,2016,153600000,-99,153617000,16,5,915,3001,124.2839554,8.002478725,2,3
"Abduction in Brgy. Buanza, Indanan, Sulu",14,2,2016,156600000,156601000,-99,16,5,915,8009,120.9756604,6.034275251,2,8
"Abduction in Brgy. Buayaan Raya, Ditsaan-Ramain, Lanao del Sur",4,3,2020,153600000,153624000,-99,30,5,915,1007,124.3744368,7.96770749,4,1
"Abduction in Brgy. Bubong Madanding, Marantao, Lanao del Sur",4,12,2018,153600000,153616000,-99,16,5,915,7004,124.2186701,7.947213692,2,7
"Abduction in Brgy. Bubong, Saguiaran, Lanao del Sur",4,5,2011,153600000,153625000,-99,-98,5,915,3004,124.271508,8.028090642,4,3
"Abduction in Brgy. Bubong, Saguiaran, Lanao del Sur",2,7,2019,153600000,153625000,-99,31,-98,915,3005,124.271508,8.028090642,6,3
"Abduction in Brgy. Bucalao, Al-Barka, Basilan",11,11,2017,150700000,150709000,-99,16,5,915,3006,122.1886406,6.465039763,2,3
"Abduction in Brgy. Bulangsi, Old Panamao, Sulu",11,2,2016,156600000,156607000,-99,16,5,915,8009,121.2499823,6.006873733,3,8
"Abduction in Brgy. Bus-Bus, Jolo, Sulu",29,4,2011,156600000,156602000,-99,16,5,915,8009,121.0080767,6.058947101,9,8
"Abduction in Brgy. Bus-bus, Jolo, Sulu",16,9,2020,156600000,156602000,-99,16,5,915,8008,121.0080767,6.058947101,5,8
"Abduction in Brgy. Cadayonan and Brgy. Dongcoan, Poona Bayabao, Lanao del Sur",9,11,2015,153600000,153622000,-99,16,5,915,8009,124.3316193,7.849324115,7,8
"Abduction in Brgy. Cadayonan, Lumbayanague, Lanao del Sur",11,3,2011,153600000,153636000,-99,-98,5,915,8009,124.2986992,7.785365384,6,8
"Abduction in Brgy. Cadayonan, Marawi City, Lanao del Sur",7,4,2017,153600000,-99,153617000,16,5,915,-98,124.2675346,7.993814091,1,9
"Abduction in Brgy. Cadayonan, Poona Bayabao, Lanao del Sur",11,11,2015,153600000,153622000,-99,16,5,915,8009,124.3316193,7.849324115,6,8
"Abduction in Brgy. Cambug, Al-Barka, Basilan",21,9,2017,150700000,150709000,-99,16,-98,915,-98,122.1866474,6.508780056,7,9
"Abduction in Brgy. Campo Muslim, Malabang, Lanao del Sur",18,3,2019,153600000,153615000,-99,2,5,915,8008,124.0726747,7.593354647,7,8
"Abduction in Brgy. Canibungan, Lantawan, Basilan",2,3,2014,150700000,150703000,-99,16,7,915,8009,121.8437175,6.60427167,2,8
"Abduction in Brgy. Danapa, Parang, Sulu",9,1,2017,156600000,156609000,-99,16,5,915,-98,120.9356616,5.925564314,2,9
"Abduction in Brgy. Dapao, Pualas, Lanao del Sur",9,5,2018,153600000,153623000,-99,16,9,915,5011,124.0165582,7.783210834,6,5
"Abduction in Brgy. Datu Naga, Marawi City, Lanao del Sur",15,9,2013,153600000,-99,153617000,28,6,915,8009,124.2934633,7.995014539,6,8
"Abduction in Brgy. Diki, Isabela City",15,3,2015,-99,-99,99701000,16,5,915,8009,121.9721788,6.717352425,16,8
"Abduction in Brgy. Dilimbayan, Maguing, Lanao del Sur",17,7,2020,153600000,153634000,-99,31,-98,915,-98,124.509205,7.913224456,4,9
"Abduction in Brgy. Dimaluna, Marawi City, Lanao del Sur",19,2,2011,153600000,-99,153617000,16,5,915,8009,124.2570727,7.998239126,4,8
"Abduction in Brgy. Dugaa, Tuburan, Basilan",1,11,2015,150700000,150707000,-99,16,5,915,3001,122.2216798,6.612679555,2,3
"Abduction in Brgy. Durian, Picong, Lanao del Sur",4,6,2020,153600000,153635000,-99,16,5,915,-98,123.9989301,7.67184446,9,9
"Abduction in Brgy. East Basak, Marawi City, Lanao del Sur",2,5,2012,153600000,-99,153617000,30,5,915,8009,124.2745868,8.008464056,4,8
"Abduction in Brgy. Frankfort, Bumbaran, Lanao del Sur",14,8,2018,153600000,153637000,-99,16,-98,915,-98,124.6824434,7.78275656,22,9
"Abduction in Brgy. Gadongan, Marawi City, Lanao del Sur",16,1,2012,153600000,-99,153617000,16,6,915,8009,124.3088683,8.001130549,2,8
"Abduction in Brgy. Gadongan, Marawi City, Lanao del Sur",11,6,2011,153600000,-99,153617000,16,5,915,8009,124.3088683,8.001130549,6,8
"Abduction in Brgy. Gandamato, Bacolod-Kalawi, Lanao del Sur",28,11,2016,153600000,153601000,-99,16,4,915,8009,124.1401919,7.860645712,5,8
"Abduction in Brgy. Gandasuli, Patikul, Sulu",22,10,2013,156600000,156611000,-99,16,5,915,8009,121.0254251,6.055536282,10,8
"Abduction in Brgy. Ilian, Piagapo, Lanao del Sur",27,10,2015,153600000,153621000,-99,16,5,915,8009,124.2276147,8.005878458,2,8
"Abduction in Brgy. Inudaran Campong, Marantao, Lanao del Sur",17,4,2018,153600000,153616000,-99,16,5,915,8008,124.2154739,7.945079839,2,8
"Abduction in Brgy. Kajatian, Indanan, Sulu",10,3,2015,156600000,156601000,-99,16,7,915,8007,120.9911201,6.036994755,3,8
"Abduction in Brgy. Kajatian, Indanan, Sulu",17,8,2018,156600000,156601000,-99,24,-98,915,-98,120.9911201,6.036994755,5,9
"Abduction in Brgy. Kan Ague, Patikul, Sulu",16,8,2016,156600000,156611000,-99,16,5,915,5017,121.1081907,6.083781143,6,5
"Abduction in Brgy. Kapantaran, Marawi City, Lanao del Sur",28,2,2016,153600000,-99,153617000,24,5,915,8009,124.3005213,7.997107323,4,8
"Abduction in Brgy. Kaumpamatsakem, Sumisip, Basilan",6,2,2011,150700000,150705000,-99,16,5,915,8009,121.9953954,6.483167005,11,8
"Abduction in Brgy. Kauran, Ampatuan, Maguindanao",14,5,2013,153800000,153801000,-99,16,-98,915,8009,124.4748624,6.78273055,3,8
"Abduction in Brgy. Kuya, South Upi, Maguindanao",6,2,2019,153800000,153817000,-99,16,-98,915,-98,124.1703224,6.780483507,5,9
"Abduction in Brgy. Kuya, South Upi, Maguindanao ",29,8,2017,153800000,153817000,-99,16,-98,915,-98,124.1703224,6.780483507,4,9
"Abduction in Brgy. Lalabuan, Balindong, Lanao del Sur",9,4,2016,153600000,153603000,-99,28,5,915,8009,124.2201682,7.924581222,6,8
"Abduction in Brgy. Lanco Dimapatoy, Masiu, Lanao del Sur",31,3,2018,153600000,153618000,-99,-98,9,915,8008,124.3181769,7.785125265,4,8
"Abduction in Brgy. Latih,  Patikul, Sulu",20,5,2013,156600000,156611000,-99,-98,5,915,8009,121.0333653,6.038444204,7,8
"Abduction in Brgy. Latih, Patikul, Sulu",23,2,2014,156600000,156611000,-99,16,5,915,8009,121.0333653,6.038444204,7,8
"Abduction in Brgy. Latih, Patikul, Sulu",30,6,2016,156600000,156611000,-99,24,5,915,8009,121.0333653,6.038444204,2,8
"Abduction in Brgy. Liang, Patikul, Sulu",30,1,2013,156600000,156611000,-99,24,7,915,8009,121.0404336,6.068494149,3,8
"Abduction in Brgy. Liang, Patikul, Sulu",22,2,2014,156600000,156611000,-99,30,5,915,-98,121.0404336,6.068494149,32,9
"Abduction in Brgy. Liang, Patikul, Sulu",19,3,2012,156600000,156611000,-99,30,5,915,8009,121.0404336,6.068494149,1,8
"Abduction in Brgy. Lilod Madaya, Marawi City, Lanao del Sur",9,8,2013,153600000,-99,153617000,24,5,915,8009,124.2931198,8.001576158,2,8
"Abduction in Brgy. Lilod Madaya, Marawi City, Lanao del Sur",11,11,2011,153600000,-99,153617000,16,5,915,8009,124.2931198,8.001576158,6,8
"Abduction in Brgy. Lilod, Balindong, Lanao del Sur",3,9,2016,153600000,153603000,-99,16,5,915,8009,124.2136512,7.896229501,6,8
"Abduction in Brgy. Limo-ok, Lamitan City, Basilan",13,9,2011,150700000,-99,150702000,24,5,915,8009,122.1018712,6.643569119,2,8
"Abduction in Brgy. Liyubud, Mapun, Tawi-Tawi",7,2,2014,157000000,157003000,-99,22,5,915,8009,118.5193832,7.035787067,4,8
"Abduction in Brgy. Lomidong, Marawi City, Lanao del Sur",31,7,2018,153600000,-99,153617000,24,-98,915,-98,124.2607275,8.006079082,10,9
"Abduction in Brgy. Lomidong, MSU Main Campus, Marawi City, Lanao del Sur",3,10,2015,153600000,-99,153617000,16,5,915,8009,124.2607275,8.006079082,1,8
"Abduction in Brgy. Lookbisaya (Kaulungan Island), Al-Barka, Basilan",11,11,2017,150700000,150709000,-99,16,9,915,3006,122.2209348,6.458347551,10,3
"Abduction in Brgy. Lumbac, Pagayawan, Lanao del Sur",8,2,2017,153600000,153620000,-99,31,5,915,3001,124.100132,7.797515456,6,3
"Abduction in Brgy. Lumbayanague, Saguiaran, Lanao del Sur ",25,10,2017,153600000,153625000,-99,31,5,915,8009,124.2767948,8.038397988,2,8
"Abduction in Brgy. Lumbayao, Balindong (Watu), Lanao del Sur",8,10,2018,153600000,153603000,-99,16,1,915,8009,124.1972594,7.90900233,1,8
"Abduction in Brgy. Lumbayao, Balindong, Lanao del Sur",15,8,2015,153600000,153603000,-99,-98,1,915,8004,124.1972594,7.90900233,11,8
"Abduction in Brgy. Macasampen, Guindulungan, Maguindanao",19,7,2016,153800000,153825000,-99,16,5,915,8009,124.3942371,6.954548043,2,8
"Abduction in Brgy. Macasampen, Guindulungan, Maguindanao",15,11,2018,153800000,153825000,-99,16,5,915,8007,124.3942371,6.954548043,4,8
"Abduction in Brgy. Magonaya, Binidayan, Lanao del Sur",5,6,2012,153600000,153605000,-99,-98,5,915,5011,124.1804897,7.804190023,2,5
"Abduction in Brgy. Makaguiling, Sultan Kudarat, Maguindanao",8,9,2015,153800000,153812000,-99,24,5,915,3007,124.2687595,7.261095833,3,3
"Abduction in Brgy. Making, Parang, Maguindanao",11,1,2012,153800000,153811000,-99,16,5,915,8009,124.2625561,7.389324024,3,8
"Abduction in Brgy. Malinis, Lamitan City, Basilan",17,10,2011,150700000,-99,150702000,16,5,915,8009,122.1486789,6.658122806,2,8
"Abduction in Brgy. Manggis, Indanan, Sulu",3,11,2012,156600000,156601000,-99,16,5,915,8009,120.9520198,5.961023374,5,8
"Abduction in Brgy. Marawi Poblacion, Marawi City, Lanao del Sur",14,9,2015,153600000,-99,153617000,-98,5,915,8009,124.2788146,8.007975479,9,8
"Abduction in Brgy. Marinaut East, Marawi City, Lanao del Sur",6,1,2015,153600000,-99,153617000,16,5,915,8009,124.2965177,7.992538063,2,8
"Abduction in Brgy. Matampay, Marawi City, Lanao del Sur",22,5,2015,153600000,-99,153617000,24,5,915,8009,124.2839997,8.012880454,2,8
"Abduction in Brgy. Matampay, Marawi City, Lanao del Sur",12,10,2016,153600000,-99,153617000,-98,5,915,8009,124.2839997,8.012880454,11,8
"Abduction in Brgy. Matling, Malabang, Lanao del Sur",28,7,2019,153600000,153615000,-99,16,9,915,-98,124.0645608,7.619451795,7,9
"Abduction in Brgy. Maul Lumbaca Ingud, Marantao, Lanao del Sur",1,4,2018,153600000,153616000,-99,16,1,915,8008,124.2523148,7.971896865,1,8
"Abduction in Brgy. Meta, Datu Unsay, Maguindanao",6,3,2013,153800000,153827000,-99,16,-98,915,8009,124.4351676,6.891716498,6,8
"Abduction in Brgy. Mipaga, Saguiaran, Lanao del Sur ",15,1,2015,153600000,153625000,-99,16,5,915,-98,124.279131,8.032100331,10,9
"Abduction in Brgy. Moncado Colony, Marawi City, Lanao del Sur",12,2,2015,153600000,-99,153617000,24,5,915,8009,124.2956999,7.997772485,3,8
